english term	urdu equivalent	suggestions only
Hypothesis: default hypothesis, alternative hypothesis	قیاس: پسندیدہ قیاس، متبادل قیاس	
hysteresis, hysteresis loop	مقناطیسی چال، مقناطیسی چال کا دائرہ	
ibn Sahl's law of refraction	ابن سھل کا قانون انحراف	
IC integrated circuit	مخلوط دور	
Icarus asteroid	آئکارس سیارچہ	
ice age	برفانی عہد	
ideal	مثالی	
ideal, non ideal	کامل: غیر کامل	
ideal gas law	مثالی گیس کا قانون	
if ever, if any	اگر ایسا ہو بھی، اگر کبھی ایسا ہو بھی	
indentical	متماثل	میٹرک
identically zero (maths)	مکمل صفر	
identity: euler identity	مماثل: یولر مماثل	یولر تماثل
identity function	شناختی تفاعل  f(x)=x	تماثل تفاعل
identity operator I (maths  Iy=y)	مماثلی عامل	تماثلی عامل
Ill-conditioned equation	بد خو مساوات	
Ill-conditioning	بد خوئی	
illustrate	اجاگر کرنا	
image (maths), preimage	عکس، قبل عکس	
Imaginary, pure imaginary (maths)	خیالی، خالص خیالی	
imaginary number: (read complex number above)	فرضی عدد	
Impedance Z, admittance Y=1/Z	برقی رکاوٹ، برقی فراوانی	
impedance: inductive and capacitive	امالی رکاوٹ، برق گیری رکاوٹ	
impedance=resistance+reactance	رکاوٹ=مزاحمت+متعاملیت	
impedance transformation	برقی رکاؤٹ کا تبادلہ، تبادلہ رکاوٹ	
impedance: transverse electric wave impedance	عرضی برقی موج کی رکاوٹ	
impirical	عملی	
implementation	جامع عمل پہنانا	
implication	مضمر، مضمرات	
implicit function	خفی تفاعل	
imply	مراد ہونا	
improper point (infinity)	غیر مناسب	
impulse function: unit impulse function, Dirac delta function	اکائی ضرب تفاعل، ڈیراک ڈیلٹائی تفاعل	
impulse response	اکائی ضرب تفاعل ردعمل	
incandescent lamp	بتی	
in, out, input, output, input value, output value	،درآمد، برآمد، داخل، خارج	مداخل، مخارج، داخلی قیمت، خارجی قیمت
input variable of a function	داخلی متغیر	
In-phase	ہم زاویہ، ہم دور	
incident, reflected, transmitted, refracted waves	آمدی موج، موج واقع، موج منعکس، ترسیلی موج، موج منعطف	
inclination:angle of inclination	زاویہ میلان	
include	شامل کرنا	
inclusion set	شمولی سلسلہ	
inclusive: for x between a and b, inclusive, A>B	بشمول، بشمول الف اور ب اور ان کے بیچ ش کے لئے ۔۔۔	
incoming, outgoing vector	آمدی، رخصتی سمتیہ	
incompressibility	داب نا پذیری	
increasing, decreasing	بڑھتا، گھٹتا	
increment, decrement	بڑھوتری، کٹوتی	
indeed	یقیناً، درحقیقت	
indeterminate, determinate	نا قابل معلوم، قابل معلوم	
Index (of a book)	فرہنگ	
index (m=0,1,2,..)	اشاریہ	
index number	شمارہ اشاری	
index of refraction (light)	انحرافی مستقل	
indicial equation	اشاری مساوات	
indirect method	بالواسطہ ترکیب	
inductive, capacitive	کپیسٹر خاصیت یا امالہ خاصیت رکھنا، امالی، برق گیری	
induce	مائل کرنا	
induced	امالی	
induced voltage	امالی دباؤ	
inductance, inductor	امالہ یا امالیت، امالہ گیر	
induction: mathematical induction	الکراجی ماخوذ، ریاضی ماخوذ	Abu Bakr ibn Muhammad ibn al Husayn al Karaji [953-1030]
induction coil	امالی لچّھا	
induction motor, squirrel cage induction motor	پنجرہ نما امالی موٹر	
inductivity	امالیت	
inductor	امالہ گیر	
industry	صنعت، کارخانہ	
inertia	جمود	
infinite; finite	لامتناہی؛ متناہی	
inflection point	نقطہ تصریف	
infrared	زیریں سرخ، زیر بصری شعاع، زیریں بصری شعاع	
initial conditions	ابتدائی حالت، ابتدائی شرائط	
initial value: initial value problem	ابتدائی قیمت: ابتدائی قیمت سوال	
initialize	ابتدائی صورت، ابتدا	
injection	ٹیکہ	
inner product, inner product space	اندرونی ضرب، اندرونی ضرب فضا	
input (the thing that is being input), output	درآئدہ، ماحصل	
input bias current	داخلی میلان برقی رو	
input offset current	داخلی انحرافی برقی ر	
input offset voltage	داخلی انحرافی برقی دباؤ	
input, input pin, input port	درآمد، درآمدی پنیہ، درآمدی راہ	
Input-output	مدخل و مخرج	
input, output, 3-inputs gate	درآمد، برآمد، تین درآمدی گیٹ	
input offset voltage, output offset voltage	داخلی انحرافی برقی دباؤ، خارجی انحرافی برقی دباؤ	
inscribed circle (matric)	محصور دائرہ	
inspection	معائنہ	
instantaneous	لمحاتی، فوراً	
insulated	حاجز شدہ	
insulator	غیر موصل، حاجز	
insulation	حجز	
integer	عدد صحیح	
integrable, absolutely integrable	قابل تکمل،مطلق قابل تکمل	
integral curve	منحنی تکمل	
integral: definite integral, indefinite integral	قطعی تکمل، غیر قطعی تکمل	
integral: line integral	خطی تکمل (khati is linear and nor line)	لکیری تکمل
integer: integer floor function, greatest integer function	بڑا ترین عدد صحیح، عدد صحیح زمین تفاعل	
integer:  least integer function, integer ceiling function	کم ترین عدد صحیح تفاعل،  عدد صحیح چھت تفاعل	
integral, integrals	تکملہ، تکمل، تکملات، تکملی	
integral calculus	احصائے تکملی، احصائے تکملات	تکملی احصا
integral: repeated integral	بارہا تکمل	
integral sign	علامت تکمل	
integral: single, double, triple	ایک گنا، دو گن (دوہرا)، تین گنا تکمل (تہرا)	
integrand	متکمل	
integration (integral)	تکمل (تکملہ)	
integration by parts, integrate	تکمل بالحصص، تکمیل کرنا	
integration limits	تکمل کے حدود ؟؟	
integration, to integrate	تکمل، تکمیل کرنا 	
integration: tabular integration	جدولی تکمل	
Integro-differential equation	تکمل و تفرقی مساوات	
interaction	ردِ عمل	باہمی عمل
intercept: x-intercept, y-intercept	قطعات: قطع ایکس، قطع وائے، محوری قطع	used for intersection too
interchange	ادل بدل	
interest, continuous compound	مسلسل سود در سود	
interference	مداخلت، خلل اندازی	
interlaced	باہم پیچاں	
intermediate	درمیانی، درمیانہ	
intermediate value property	متوسط قیمت خاصیت	
internal, external	اندرونی، بیرونی	
Interpolate, (interpolation); linear interpolation	باہمی تحریف؛ خطی باہمی تحریف، ورائی تحریف	اندرونی ادراج کریں، (اندرونی ادراج)، خطی اندرونی ادراج
interpretation	تشریح، تعبیر، تشریح	
intersection (set)	تقاطع	
intersection: angle of intersection	زاویہ تقاطع	
Interferometer, Fabry-Perot	طیف پیما، فیبری پیروٹ	
interval: confidence interval	وقفہ اعتماد	
interval; open interval	کھلا وقفہ، کھلا فاصلہ	
interval: sub interval	ذیلی وقفہ	
intravenous	درون وریدی	
intrinsic impedance (wave)	قدرتی رکاوٹ	
introduction	تعارف	
into, onto (transformation)	میں، پر	
intuition, intuitively	الہام، اندیشہ، الہاماً، الہامی، اندیشاً	
invariance	عدم تغیر	
invariant	غیر متغیر	
inventor	موجد	
inverse function	الٹ تفاعل	
inverse law	مقلوب قانون	میٹرک
inverse matrix	ریاضی معکوس، معکوس قالب	
inversely proportional, directly proportional	بالعکس متناسب، راست متناسب	
inverse transform	الٹ بدل	
inversion	الٹ جانا، الٹنا	
inverting, non-inverting input	مثبت مداخل، منفی مداخل	
inverting amplifier, non-inverting amplifier	منفی ایمپلیفائر، مثبت ایمپلیفائر	
investigation	تحقیق	
involute	در پیچیدہ	
ion	آئن	(برق  پارہ تبدیل کر کے (  بارداریہ کر دیا گیا ہے۔
ionization	بارداری عمل	
input output (input-output)	اخراجات و پیداوار	
Irish (of Ireland)	آئرستانی	
Isaac Newton	اسحاق نیوٹن	
isoclines (lines of equal inclination)	ہم میلان	
isolated	تنہا	
isosceles triangle	مساوی الساقین مثلث	
isotherm	ہم حرارت خط	
isotope	ہم جا	
isotropic	غیر سمتی خاصیت	
Issai Schur	اسائے شُر	
italian	اطالوی	
item	جزو، رکن، مد (مدات)	
iteration	اعادہ، اعادوں، اعادے	بار بار دہرانا
iteration matrix	اعادہ قالب	
iteration:method of false position	اعادہ: ترکیب مقام غیر حقیقی	
iteration path	راہ توالی	
iodine	آیوڈین	
Jacobian (maths) Carl Gustav Jacob Jacobi	یعقوبی: کارل گستاف یعقوب یعقوبی	
Jansky (radio astronomical SI unit)	جانسکی	
jerk	چھٹکا	
John	جان	
John-Nicolson method; John Crank, Phyllis Nicolson	ترکیب کرینک نکلسن؛ جان کرینک، فلس نکلسن	
John Wallis	جان والس	
Joseph Liouville	یوسف لییویل	
july	جولائی	
joule	جاول	
jump (discontinuity)	چھلانگ	
jupitor planet	مشتری	
justified	جائز ہونا	
kappa (greek alphabet)	کاہپا	
Karl Weierstrass	کارل وائشسٹراس	
Kelvin	کیلون	
Kepler; Johannes Kepler	یوہانس کپلر	
kick: inductive kick: kickback voltage	امالی لات	
kilo	کِلو	
Kilowatt-hour	کلو واٹ گھنٹہ؛ برقی توانائی کی تجارتی اکائی	
kinematics	مجرد حرکیات	
kinetic energy	حرکی توانائی	
Kirchoff: Gustav Robert Kirchoff	گستاف روبرٹ کرخوف	
Kirchoff's current law, voltage law	کرخوف قانونِ رو، کرخوف قانونِ دباو	
Kronecker delta, Leopold Kronecker	لیوپولڈ کرونیکر، کرونیکر ضرب، کرونیکر ڈیلٹا	
lab, laboratory	دارالتجربہ، تجزیہ گاہ، تجربہ گاہ	
label	سرخی، نام ونشان،چھٹی، پرچہ، سرنامہ	
lag, lead	آگے، پیچھے	پیش، تاخیر
lagging angle	زاویہ تاخیر	
lagging angle, leading angle	آگے زاویہ، پیچھے زاویہ	تاخیری زاویہ، پیش زاویہ
lagging: inductive circuits are called lagging circuits	امالی ادوار پیچھے رہنے والے ادوار کہلاتے ہیں	تاخیری ادوار
Lagrange: Joseph Louis Lagrange (mathematician)	یوسف لوئی لیگرینج	
Lagrange identity	لیگرینج مماثل	
Laguerre's equation: Edmond Nicolas Laguerre	ایڈمنڈ نیکولس لاگیغ	
lamination	باریک چادر یا پتری کو تہ در تہ رکھ کر بنایا جاتا ہے	
laplacian operator	لاپلاسی عامل	
laplace transform; inverse laplace transform	لاپلاس بدل؛ الٹ لاپلاس بدل	
Laplace transformation	لاپلاس تبادلہ	
largest and smallest values	سب سے بڑی اور سب سے چھوٹی قیمت	matric
laser	لیزر	
lateral, lateral area	پہلو کا، رقبہ پہلو	
latitude	خط عرض بلد	
laurent series: Pierre Alphonse Laurent	لوغوں تسلسل: پیّر الفنس لوغوں	
LCM (least common multiple)	ذواضعاف اقل	
lead (metal)	سیسہ	
lead, lag	دیر، پہل	
leading angle	زاویہ پہل	پیش زاویہ
leading angle, lagging angle	آگے زاویہ، پیچھے زاویہ	زاویہ تاخیر، پیش زاویہ
least squares: method; normal equations	کمتر مربع: ترکیب؛ عمودی مساوات	
capacitive circuits are called leading circuits	برق گیر کے ادوار کو آگے رہنے والے ادوار کہا جاتا ہے	
leakage	رِستا رہا۔رِس رہا ہے۔ رِسنام  رساو	
leakage inductance	رِستا امالہ	
leakage magnetic flux	رِستا مقناطیسی رو	
leakage reactance	 رِستا متعاملیت، رِستا متعاملہ	
LED	نوری ڈایوڈ	
Legendre function (Adrien Marie Legendre)	لیژانڈر تفاعل (اڈریان مری لیژانڈر)	
Legendre: associated Legendre functions	شریک لیژانڈر تفاعل	
Leibniz, Leibniz test: Gottfried Wilhelm von Leibniz	لیبنٹز، معیار لبنیٹز: گٹفرڈ ولہلم ون لیبنٹز	
lemniscate	دو چشمہ	
length	لمبائی	
lens: eye lens	عدسہ چشم	
Leontief model (Wassily Wassilyevich Leontief)	لیونٹف۔ وسلی وسلی وچ لیونٹف	
Leslie model of population growth	نمو آبادی کا لزلی نمونہ	
level surfaces, level curves (maths)	ہم قد سطحیں، ہم قد منحنیات	
lever, lever arm	بیرم، بیرم کا بازو	
L Hospital's rule	ال ہوس پٹل کا قاعدہ	قاعدہ لھوپیٹال
license	اجازت نامہ	
Liebmann method	ترکیب لیبمن	
lifetime	عرصہ زندگی	
lift	مصعد  (صعود اور نزول سے ماخوذ)	used in arab countries
light year	نوری سال	
likelihood function (estimates, statistics)	تفاعل امکان	
limacons	گھونگے، گھونگا	
Limit; (as t tend to zero, etc), limits	حد، حدیں	
limit cycle (maths, phase plane)	تحدیدی دائرہ	
limit: left-handed limit, right-handed limit, two-sided limit	بائیں ہاتھ حد، دائیں ہاتھ حد، دو طرفہ حد	
limit point	تحدیدی نقطہ	
limit state	تحدیدی حال	
limit upper, lower	زیریں حد، بالائی حد	
limit vector	تحدیدی سمتیہ	
limiting: limiting slope	تحدیدی ڈھلوان	
line	لکیر	
linear accelerator	مسرع خطی	
line current, line voltage	دباو تار، رو تار	
linear component R,L,C	خطی پرزہ، خطی مزاحمت	
linear element (of curve, maths)	خطی جزو	
line charge density	خطی کثافت بار  (khati is linear and not line)	لکیری کثافت بار
line voltage, line current	تار کی برقی دباؤ، تار کی برقی رو	
line, surface, volume integral	خطی، سطحی، حجمی تکملہ	
line, surface, volume integration	خطی تکمل، سطحی تکمل، حجمی تکمل	
line: vertical line	انتصابی خط	
linear, linearity 	خطی، خطی نوعیت	
linear	بتدریج تبدیل ہونے والا	
linear combination	خطی جوڑ	
linear dependence	خطی طور تابعیت	
linear equation	سادہ مساوات	خطی مساوات
linear expansion	طولی پھیلاؤ	
linear function	سادہ تفاعل	خطی تفاعل
linear independence	خطی طور غیر تابعیت	
linear polarized	خطی قطبی	
linear relationship	وہ ترسیمی تعلق جو خطِ مستقیم کی صورت ظاہر کیا جائے اور دو متغیرات میں بلا واسطہ تعلق کق ظاہر کرے	
linearity	خطیّت	
linearization, linearized	خط بندی، خط بند	
linearize	خطوط کی شکل دینا	
linearly	خطی طور پر	
linearly dependent, linearly independent	خطی طور تابع، خطی طور غیر تابع	
Lissajous figures	لساجس اشکال	
litre	لٹر	
liquid	مائع	
list	درج کرنا، فہرست	
live wire, hot wire	زندہ تار، گرم تار	
load data (digital circuits)	مواد چڑھانا	
load, loaded, unloaded	بوجھ، بار ، بار بردار، بے بار، میکانی بار، برقی بار	
lobe, main lobe (antenna)	مرکزی شعاع	
lobe, minor lobe (antenna)	ثانوی شعاع	
lock, unlock	بندھن جوڑنا، بندھن توڑنا	
Log-log, semi-log axis	لاگ لاگ، نیم لاگ محور	لوگارتھم؛ نیم لوگارتھمی محور
logarithm, logarithmic decrement	لوگارتھم، لوگارتھمی گھٹاو	
logarithmic differentiation	لوگارتھمی تفرق	
logarithm, common, natural	قدرتی اور عام لوگارتھم	
longitude	خط طول بلد	
longitudinal wave	طولی موج	
loop	گھیر	
loop analysis	دائری تجزیہ	
loop, node	دائرہ، جوڑ	
loop closed	بند دائرہ	
loop current	دائری رو	
Lorentz force equation, Hendrik Lorentz	لورنز قوت کی مساوات، ہینڈرک لورنز	
loss	ضائع کرنا، ضیاع	
loss less, lossy	بے ضیاع، ضیاع کار	
loss tangent	مماس ضیاع	
lossy, loss less	ضیاع کار، بے ضیاع	
lot	ڈھیر (ایک ہی ڈھیر)	
lot: indifferent lot	لا تعلق کھیپ	
lothar collatz	لوٹار کولٹز	
Lotka-Volterra (predator-prey model); Alfred Jmaes Lotka, Vito Volterra	الفرڈ جیمز لوٹکا، ویٹو ولٹیرا	
lower bound (of sequence)	زیریں حد بندی	
lower: bounded from below (sequences)	نیچے سے محدود	
lower limit	زیریں حد	
machine: working, faulty	فعال، غیر فعال	
maclaurin's series: Colin Maclaurin	مکلارن تسلسل: کولن مکلارن	
macroscopic, macroscopic level	کلاں، کلاں بینی سطح	
magnetic circuit	مقناطیسی دور	
magnetic field	مقناطیسی میدان	
magnetic field intensity	مقناطیسی شدت	
magnetic flux	مقناطیسی بہاو	 
magnetic flux density	کثافت مقناطیسی بہا	 
magnetic susceptibility	مقاناطیسی اثر پذیری	
magnetic tape	مقناطیسی پٹی	
magnetically coupling	مقناطیسی رابطہ	
magnify	بڑا دکھانا	
magnitude	مقدار، جسامت	
major, semimajor 	اکبر، نصف اکبر	
Map, mapping (maths)	نقش، نقشہ، نقشہ کشی	
marginal cost of production	حاشیہ لاگت پیداوار	
marginal distribution	حاشیہ تقسیم	
Maria Agnesi’s witch	مریا اگنیسی کی چڑیل	
Mars planet	مریخ	
match	ہم پلہ، جوڑیں	
mathematician	ریاضی دان	
Malthus' law; Thomas Robert Malthus	قانون مالتُھس؛ طامس روبرٹ مالتُھس	
mass	ماس	کمیت
mass production	بڑے پیمانے پر پیداوار	
matched	ہمہ رکاوٹ	
matching stub (transmission lines)	ہمہ رکاوٹی بنانے والا تار کا ٹکڑا؛ تار کا ٹکڑا	
matching: half-wave matching (transmission lines)	نصف طول موج کی ترکیب	
material	مادّہ،  مواد	
material strength	مادی مضبوطی	
mathematics	ریاضیات	
matrix: augmented matrix	افزودہ قالب	
matrix: band matrix	پٹی قالب	
matrix: coefficient matrix	عددی سر قالب	
matrix, determinant	قالب، مقطع	
matrix: diagonal matrix	وتری قالب	
matrix: tridiagonal matrix	سہ وتری قالب	
matrix: echelon form, reduced echelon form	زینہ دار، سادہ زینہ دار صورت	
matrix: row echelon form	صف زینہ دار	
matrix elements; vector components	قالب کے ارکان اور سمتیہ کے اجزاء	
matrix: entry, row, column	قالب، اندراجات، صف، قطار	
matrix:scalar matrix	غیر سمتی قالب	
matrix:size	قالب کی جسامت	
matrix: skew	منحرف قالب	
matrix: unit, transpose,inverse	اکائی قالب، تبدیلی محل قالب، معکوس قالب	
matrix equation	قالبی مساوات	
Max-min theorem	مسئلہ کم سے کم اور زیادہ سے زیادہ	
maxima, minima	زیادہ سے زیادہ نقاط، کم سے کم نقاط	نقطہ اعظم، نقطہ اقل (dr anees rasheed khan)
maximum, minimum	اعظم، اقل	 
maximum, minimum	کم سے کم، زیادہ سے زیادہ، انتہا، انتہائی	نوٹ: کمتر اور بلند تر کے الفاظ highest and lowest کے لئَ مختص ہیں
maximum power transfer theorem	زیادہ سے زیادہ طاقت منتقل کرنے کا مسئلہ	
maxterms, minterms	ارکانِ جمع، ارکانِ ضرب	
maxima, winmax ubuntu program	میکسما پروگرام	
Maxwell, James Clerk Maxwell	میکس ویل، جیمس کلارک میکس ویل	
mean, median, mode	اوسط، وسطانیہ، عادہ	
mean position, extreme position	وسطی نقطہ، انتہائی مقام	
mean value theorem	مسئلہ اوسط قیمت	
measure	ناپنا	
measures of dispersion	انتشاری پیمانے	
median (meddle quartile), lower & upper quartile, interquartile range	نصف چوتھائی، نچلی اور بالائی چوتھائی، چوتھائی سعت	
median of a triangle	وسطانیہ	matrix
medium	ذریعہ	
mega: mega meter	میگا	
membrane	جھلی	
Memory: RAM=volatile memory, ROM=non-volatile memory	حافظہ: عارضی حافظہ، پختہ حافظہ	
mercury (planet)	عطارہ	
meridian	نصف النھار	
mesh, mesh analysis	جال، ترکیب جال	
mesh size	جسامت جال	
mesh point, nodal point (iteration, maths)	نقطہ جال، جوڑ	
metabolism	تحول	
meteorite	شہاب ثاقب	
method of least squares	ترکیب کمتر مربع	
Michael	میکائل	
micro	مائیکرو	
microphone	مائکروفون	
microwaves	خردامواج	
mid, centre	وسط	
milli	مِلی	
minimum, maximum	کم سے کم، زیادہ سے زیادہ	
minterms, maxterms	ارکانِ جمع، ارکانِ ضرب	
minor, semiminor	اصغر، نصف اصغر	
minor lobe (antenna)	ثانوی شعاع	
minor (matrix)	اصغر	
missile	مزائل	
mistake	غلطی	
mixed differential du^2/dudy	مدغم تفرق	
mmf	مقناطیسی دباؤ	
Mobius strip:August Ferdinand Mobius	موبیوس پٹی: اگست فرڈینانڈ موبیوس	
mobility, surface mobility, bulk mobility	سطحی حرکت پذیری، گہرائی پر حرکت پذیری	
modeling	نمونہ کشی	
model;transistor model (mathematical model)	ریاضی نمونہ؛ باریک اشاراتی پائے ریاضی نمونہ	
mode, mode of operation	طریقِ کار، اندازِ کارکردگی، طرز	
mode:higher order mode	انداز: بلند رتبی انداز	
mode: higher mode frequency (wave guide)	انداز: بلند انداز تعدد	
moderate	معتدل	
modify	ترمیم کرنا	
modular surface	مقیاسی سطح	
modulate: modulate amplitude, modulate frequency	حیطہ ترمیم کرنا، تعدد ترمیم کرنا	not used this term yet
modulating frequency, carrier frequency, modulating wave	تعددِ سوار، تعددِ سواری، سوار موج، سواری موج	
modulus (absolute value of complex number)	معیار	
modulus of elasticity, Young's modulus of elasticity	مقیاس لچک، (معیار لچک)، ینگ مقیاس لچک	
molecule, molecular	سالمہ، سالماتی	
moment, moment of force, dipole moment	معیار اثر، جفت قطب کا معیار اثر، قوت کا معیار اثر	
moment: bending moment	خماو کا معیار اثر	
moment: first and second moments	معیار اثر اول، معیار اثر دوم؛ پہلا معیار اثر، دوسرا معیار اثر	
moment: kth moment	کے ویں معیار اثر	
moment: kth central moment	کے ویں وسطی معیار اثر	
moment of inertia	جمودی معیار اثر	
moment arm of torque	مروڑی اثر کا بازو	
moment: method of moments	ترکیب معیار اثر	
momentarily	لمحاتی طور پر، عارضی طور پر، پل بھر کے لئے	
monoatomic ion, polyatomic ion	یک جوہری بارداریہ،  کثیر جوہری بارداریہ	
monotone: monotone increasing, decreasing	یک سر بڑھتا، گھٹتا	
morphic:meromorphic	جزوی شکلہ	
morphic: holomorphic	کل شکلہ	
motorway	موٹروے	
multistage	کثیرالمراحل	
multiple integrals	تکمل بالکثرت	
multiple: multiple of ex	مضرب: ایکس کا مضرب	
multiple point (of a curve)	متعدد نقطہ	
multiplexer, mux	داخلی منتخب کار	
multiplier, (multiplicand), [multlipliers]	ضارب یا ضریب، (مضروب)، [ضاربین]	
multiply connected, multiply connected domain	مضرب تعلق، مضرب تعلق دائرہ کار	
multivalued	کثیر قیمتی	
mutivariable function	کثیر المتغیر تفاعل	
mutual	باہمی، مشترکہ،اجتماعی	
mutual distance	باہمی فاصلہ	
mutual flux linkage	مشترکہ اِرتَباطِ رو	
mutual inductance	مشترکہ امالہ	
nabla	نیبلا	
Nagasaki (japan)	ناگاساکی	
Napier (Neper)	نیپر	
natural frequency	قدرتی تعدد ارتعاش	
natural frequency: damped, undamped	بلا تقصیر قدرتی تعدد، مقصور قدرتی تعدد	
name plate	معلوماتی تختی	تختی پہچان
nano	نینو	
narrow range	محدود حد	
natural response: complementary solution (diff eq)	فطری رد عمل	
necessary (condition, maths)	لازم	
negative	نفی	
negligible	قابل نظر انداز	
neighbourhood	پڑوس	
Neils Henrik Abel	نیلز ہنری ایبل	
Neper (wave attenuation), John Neper	نیپر (جان نیپر)	
Neptune planet	نیپچون	
net force	کل قوت	
Netherland	نیدرلینڈ	
network: electrical network	جال: دوری جال	
neutral, neutral atom	تعدیلی، تعدیلی ایٹم	تعدیلی جوہر
neutral wire, cold wire	تعدیلی تار، سرد تار، ٹھنڈی تار	
neutralization	تعدیل	
newton's law of cooling	نیوٹن کا قانون ٹھنڈک	
nichrome	نائیکروم	
Nobel prize	نوبل انعام یافتہ	
nodal point, nodal lines (vibrations)	نقطہ صفر ہٹاو، صفر ہٹاو لکیر	
node (string)	نقطہ صفر ہٹاو	
node, loop, branch	جوڑ، دائرہ، بازو	
node: super node	مخلوط جوڑ	
nodal analysis	تجزیہ جوڑ	
nodal voltage	دباو جوڑ	
noise power (in resistor)	طاقت شور	
noise temperature	حرارت شور	
nomenclature	تسمیہ	
non homogeneous	ہر طرف غیر یکساں	
non linear	غیر تدریجی	
non-sinusoidal	غیر سائن نما	
non trivial solution	غیر صفر حل	
non zero	غیر صفر	
Norm; norm of functions (orthogonal functions)	معیار	
normal matrix	عمودی قالب	
normal (not special)	عمومی	
Normal, binormal , principal normal (maths)	عمودی، خطِ عمود، دوہرا عمودی، صدر عمودی 	
normal distribution, normal distributed	عمومی تقسیم، عمومی بانٹی ہوئی	here normal is used in this sense
normal mode:nth normal mode (vibrating string)	این ویں عمودی انداز	
normalize, normalize with alpha	تقابل پذیر، بمطابق الفا	معیاری صورت میں لانا
normalized	تقابل پذیر	معیاری صورت
normal line	خطِ عمودی	
north pole	شمالی قطب	
Norton Theorem: Edward Lawry Norton	ایڈورڈ لوری نارٹن	
Norway	ناروے	
notation	علامت نویسی، علامتی اظہار	علامتیت
notation: short notation	مختصر علامت	
notch filter	دندانہ چھلنی	
note that	یاد رہے کہ، دھیان، توجہ	
notice	محسوس کرنا، دھیان دینا	
Nucleus (cell)	مرکزہ	
Null, nullity (set, maths), null space	معدوم، معدومیت، معدوم فضا	
number theory	اعدادی نظریہ	
numbered from 1 to n	ہم انہیں 1 تا 10 کی شمار سے ظاہر کرتے ہیں۔	
numerator	شمار کنندہ	
numerical aperture (optical fiber sin theta)	عددی شگاف	
numerical, iteration	عددی، دہرانا	numerical=اعدادی
numerical method	اعدادی طریقہ	
numerical technique	اعدادی ترکیب	
number 	عدد	
numbered	شمار، شمارہ	
Nyquist criterion	اصول نی کوسٹ	
observation	مشاہدہ	
object	چیز	
observed (probability)	مشاہدہ کرنا	
observed values	مشاہدے سے حاصل قیمتیں	
obtuse angle (greater than 90)	زویہ منفرجہ	
octant	ثُمن	
octave((software)	آکٹیو	
odd	طاق	
odd function symmetry	طاق تفاعل تشاکل	
ODE (ordinary differential equation)	سادہ تفرقی مساوات	
odometer	مسافت پیما	
offset voltage: read output offset voltage		
Ohm :Georg Simon Ohm	اوہم : جارج سائمن اوہم	گیورگ سیمون اوہم
ohm meter	مزاحمت پیما	
oil refinery	تیل صاف سازی کا کارخانہ	
omit	ترک کرنا	
omnidirectional antenna	غیر سمتی اینٹینا	
one to one correspondence	ایک ایک مطابقت	
one, precisely one	واحد ایک	
onto, into (transformation of Domain onto/into Range)	میں، پر	
opaque	غیر شفاف	
open, closed	بند، کھلا	
open circuit	کھلا برقی دور	
open loop, open surface	کھلا دائرہ، کھلی سطح	
operating characteristic (OC, testing of hypothesis, maths)	خاصیت کارکردگی	
operating characteristic curve	منحنی خاصیت کارکردگی	
operation (maths: add, subtract, etc)	عمل	
operation	کارکردگی	
operator, operators	عامل، عاملین	
operator; differential operator D, identity operator I (Iy=y)	عامل؛ تفرقی عامل ؛ مماثلی عامل	
optics	بصریات	
optical fibre	شیش ریشہ	
optical frequency, optical wavelength	بصری تعدد، بصری طول موج	
optic nerve	عصب بصری، عصب بینائی	
optimum	بہترین	
optimize	بہترین بنانا	
opto coupler	ضیاعی وابستہ کار	
order: order something	منگوانا	
order: cost of placing order	مال منگواتے وقت ادائگی	
order	رتبہ	
order	نظم	
Order: 10^5 has order 5	رتبہ	
order: x will have to be of the order y	ایکس کو لگ بھگ وائے کے برابر ہونا ہو گا	
order of zeroes	رتبہ	
order: write them in a certain order	منظم کرنا، نظم	
Ordered pair, ordered triples	مرتب جوڑی، مرتب تین اعداد	
ordinary	سادہ	
ordinary differential equation	سادہ تفرقی مساوات	
ore: metal ore, coal ore	خام دھات، خام کوئلا	
orientable	قابل سمت بند	
orientation	سمت بندی	تشریق (میٹرک)
origin, coordinate system	مبدا	
orthogonal	قائمہ، عمودی	
orthogonal projection	تظلیل قائمہ: وہ تظلیل جس میں روشنی کی شعاعیں عمودی پڑتی ہیں	
orthogonal trajectories	عمودی  خطوط	
orthogonality	قائمیت	
orthogonally	قائمی طور پر	
Orthonormal	معیاری عمودی، معیاری قائمہ الزاویہ	
orthonormality	معیاری قائمیت	
oscar perron	اسکار پیغوں	
oscillation	ارتعاش	
oscillator	مرتعش	
out / in	خارج، داخل	
outcome	انجام	
output offset voltage, input offset voltage	داخلی انحرافی برقی دباؤ، خارجی انحرافی برقی دباؤ	
out of phase: when angles are not equal	الگ زاویہ ہونا	
output	ماحصل	
output	پیداوار	
output pin, output port	خرجی پنیہ، خارجی راہ, برآمد، برآمدی	
over damped	زیادہ مقصور	
overlap	ڈھانپنا	
overview	 جائزہ، سرسری جائزہ	
Pacific ocean	بحرالکاہل	
packet: spectral packet	شعاعی پٹی	
PAL	قابلِ تشکیل ایند جوڑ کے منتقی ترکیبی دور	
Pappus theorem (maths)	مسئلہ پاپس	
parabola, parabolas	قطع مکافی، قطعات مکافی	
paraboloid	قطع مکافی مجسم  قطع مکافی سطح	
parallel (parallel circuit)	متوازی	
parallel axis theorem	مسئلہ متوازی محور	
